spot	Activated neural stem cell	Astrocyte	Basket cell	Bergmann glial cell	CCK basket cell	Cajal-Retzius cell	Chandelier cell	Dorsal otocyst	Early intermediate precursor cell	Early neuroblast	Endothelial cell	Ependymal cell	Immature olfactory sensory neuron	Interneuron-selective cell	Late activated neural stem cell	Late neuroblast	Long-projecting GABAergic cell	Macrophage	Martinotti cell	Mature olfactory sensory neuron	Microglial cell	Mural cell	Neural stem cell	Neuroblast	Neuron	O cell	Olfactory ensheathing glia	Olfactory sensory neuron	Oligodendrocyte	Oligodendrocyte precursor cell	Precursor cell	Progenitor cell	Quiescent neural stem cell	Smooth muscle cell	Type I spiral ganglion neuron	Type IA spiral ganglion neuron	Type IB spiral ganglion neuron	Type IC spiral ganglion neuron	Type II spiral ganglion neuron	Ventral otocyst
42x94	0.0046479246	0.0054209605	0.0041491576	0.0027903137	0.07975638	0.0053215916	0.0108292615	0.017218225	0.073617846	0.00401344	0.0014195965	0.002951038	0.050122805	0.0057077073	0.010109121	0.004054396	0.1348473	0.010548396	0.0042423136	0.0021933736	0.006923186	0.0019819222	0.0025549692	0.024044398	0.06669621	0.0023801762	0.0016872521	0.018318115	0.0030776502	0.0028281105	0.0044603585	0.2889764	0.005636639	0.0015805631	0.031146014	0.0027919065	0.01551071	0.051243518	0.025379159	0.008821592
37x45	0.0061010923	0.033179726	0.031747945	0.0075009027	0.017844332	0.031335764	0.15909794	0.03136855	0.010254614	0.00637329	0.033526767	0.0018649261	0.003587145	0.023431698	0.011119965	0.02623058	0.00292911	0.0015632855	0.0079309875	0.005290726	0.004292237	0.014498667	0.009409957	0.0035176752	0.016562566	0.033037305	0.051634878	0.015390942	0.015344179	0.02578442	0.0055759656	0.13409872	0.009760952	0.082686804	0.02532913	0.03146554	0.052663974	0.0038642145	0.0036433083	0.009159237
39x19	0.028585449	0.031403802	0.0064927014	0.03257913	0.029627321	0.02243785	0.0056039295	0.029217543	0.0056577595	0.015945422	0.10572758	0.0085899	0.08569144	0.0055894335	0.013117985	0.12054604	0.0057865214	0.01801522	0.00565493	0.003257238	0.014381946	0.09585152	0.012449152	0.005148071	0.004264361	0.0075155413	0.022068692	0.024991414	0.0054838764	0.0052913423	0.0630334	0.007883246	0.0039443662	0.025432952	0.011441047	0.0126121165	0.030495482	0.029074097	0.029749792	0.009360423
35x91	0.0040600873	0.00401258	0.012116301	0.00188172	0.08525537	0.06510017	0.042621482	0.027259182	0.007632749	0.0076557244	0.0033713507	0.0028420496	0.029805489	0.06007469	0.0070391963	0.0067482805	0.024404714	0.0044906237	0.025075631	0.0026642997	0.0050509493	0.0033451626	0.0044069677	0.14026256	0.08260351	0.013562646	0.010388041	0.11550265	0.010090572	0.056109577	0.0043824213	0.007343025	0.008859461	0.0021025883	0.022418233	0.008716022	0.017142573	0.045691833	0.015279813	0.0026297374
19x33	0.0021360463	0.00086525147	0.022342272	0.0019481549	0.0019054358	0.11667266	0.10833586	0.0023925002	0.0040286235	0.001086089	0.0022384955	0.0035998293	0.0029726136	0.20534535	0.005252419	0.0030211653	0.027016666	0.0025461852	0.006143881	0.02501631	0.0035797367	0.0021035399	0.006300081	0.009616978	0.07680694	0.00219497	0.00076536136	0.0024993843	0.0031324336	0.0026278317	0.005990975	0.004420716	0.0014608578	0.0013422483	0.043304786	0.25863856	0.021426266	0.0045283907	0.0012784075	0.003115752
19x81	0.0068601286	0.022272535	0.01923977	0.015819946	0.052548047	0.04582114	0.010061569	0.2424183	0.004559715	0.040922012	0.0076870695	0.024650281	0.06313588	0.0074107726	0.005843213	0.006241358	0.0058050253	0.00795472	0.015459664	0.01131496	0.009094989	0.011133878	0.0073158816	0.04325345	0.036655825	0.008818118	0.020669864	0.012181169	0.0038505292	0.005485073	0.010374459	0.004844258	0.1446524	0.010288913	0.010206133	0.009821073	0.010318581	0.013672037	0.0019959772	0.009341286
60x84	0.027209634	0.035742998	0.0069814287	0.05095731	0.012682813	0.0174333	0.021117516	0.024560599	0.009994991	0.015691271	0.027498573	0.020278417	0.07624277	0.03698359	0.008002424	0.04509329	0.0287224	0.013777371	0.024948867	0.0108673135	0.012955522	0.014418474	0.022245036	0.013109235	0.060554598	0.0069113197	0.012620901	0.05285359	0.0071297553	0.0071619535	0.12904005	0.0071784826	0.04502493	0.023528118	0.009995554	0.021555772	0.0076799714	0.011046431	0.0120159155	0.008187426
31x83	0.034957144	0.004905059	0.006200011	0.005820148	0.03743825	0.00922682	0.035987984	0.03096736	0.01044442	0.00728715	0.05353718	0.009177061	0.01859149	0.0751823	0.010591098	0.014321538	0.03129543	0.004532075	0.00306685	0.010167619	0.00665767	0.005641516	0.009692443	0.020116096	0.026021969	0.16430894	0.010138121	0.03331396	0.09062622	0.10266124	0.00520776	0.0047048847	0.0068016713	0.007023769	0.013438331	0.013886024	0.005469354	0.01216415	0.022477042	0.02595185
54x34	0.0065335147	0.07925716	0.0115855895	0.06564667	0.035213944	0.0051749954	0.0015336287	0.10138758	0.0042851185	0.03146702	0.025257053	0.0149158025	0.027750427	0.0013262979	0.005185071	0.012173015	0.002659889	0.0031343945	0.0078156125	0.045887757	0.005253054	0.014376042	0.017425846	0.0038682632	0.0022809547	0.046174753	0.009850271	0.07805209	0.01958994	0.0085943295	0.006172222	0.005435378	0.2542116	0.011649846	0.005979298	0.0035211116	0.004544631	0.0064223916	0.001521916	0.006885494
41x53	0.0030510775	0.014159168	0.015763693	0.022241572	0.0102759665	0.007969507	0.11479936	0.015643543	0.0104389	0.0076231575	0.032276984	0.006051268	0.010009418	0.016951092	0.026890656	0.017303213	0.0039122566	0.009225999	0.009578067	0.008739675	0.005261119	0.04495264	0.0041188686	0.0049595446	0.0035898918	0.11816432	0.034209047	0.031328283	0.113234356	0.03600899	0.009081711	0.0065589617	0.007809403	0.106814995	0.034140904	0.023865212	0.0116889	0.0028000786	0.005426017	0.0330822
67x61	0.042455003	0.07928096	0.0041259155	0.07289173	0.0069627953	0.007506483	0.023296274	0.05008227	0.0073532728	0.013938681	0.025449777	0.03233607	0.108290404	0.0061261277	0.0075733694	0.02820754	0.015236405	0.009662939	0.013819666	0.006365396	0.021071155	0.039132085	0.09494929	0.0076541943	0.0078662215	0.0064418796	0.023975786	0.008030605	0.00478582	0.004176512	0.010970543	0.0055955863	0.10370561	0.023622692	0.003708397	0.0055019083	0.009473988	0.003182541	0.0137831215	0.041410986
45x69	0.24914652	0.016402416	0.011488725	0.017915014	0.007481782	0.002266819	0.0038069095	0.0030426073	0.06278943	0.027668001	0.0115161585	0.080542564	0.007183903	0.0058929897	0.026270647	0.007364894	0.03749507	0.027720084	0.014830337	0.0068142186	0.041633427	0.012446771	0.042486157	0.011540739	0.0034781	0.04320977	0.01496376	0.011455267	0.027675416	0.010372839	0.008672448	0.0058780527	0.024133611	0.006102559	0.003527055	0.0051713334	0.005017558	0.002251598	0.010433915	0.08191053
30x70	0.0029706035	0.003165652	0.026391393	0.0017932176	0.0025597666	0.019431544	0.0195309	0.0014369437	0.006563563	0.015148466	0.003409335	0.0027665964	0.0049617453	0.04591174	0.004926562	0.01676167	0.0015940677	0.0009100924	0.0037647241	0.014266636	0.0030743857	0.0017613358	0.0033715838	0.038696777	0.030676063	0.0047805915	0.00054802094	0.0049153315	0.0038381345	0.005207681	0.0897718	0.12529828	0.0045257197	0.002598496	0.1235601	0.2922972	0.014392198	0.015746169	0.0010753649	0.035599522
34x46	0.0062677907	0.009732415	0.04289574	0.040858436	0.1374714	0.0073314575	0.038019843	0.012546443	0.009848972	0.00482021	0.009285139	0.007228229	0.007222206	0.011691659	0.009513292	0.11684103	0.0037656168	0.0048957346	0.0075295516	0.0063001625	0.010738824	0.0060644015	0.003029275	0.0032817994	0.014339609	0.04393399	0.036480546	0.05045515	0.063435175	0.04893161	0.0055451505	0.003550995	0.0029359171	0.013084939	0.043700792	0.04567013	0.066763766	0.0029421388	0.008136103	0.032914378
51x103	0.0051181023	0.021181084	0.018676832	0.014809741	0.01525698	0.055227064	0.03165508	0.010171104	0.010428072	0.009260993	0.041357182	0.011274203	0.0076201283	0.011561885	0.25782627	0.005139299	0.007508757	0.012569407	0.03280446	0.029163655	0.0114881685	0.012983451	0.013393606	0.024850758	0.05691219	0.007038024	0.011651076	0.07329587	0.0078804875	0.040694445	0.010042875	0.011023068	0.049155902	0.016024694	0.0060084476	0.009614835	0.005635839	0.01732833	0.002081925	0.004285776
34x32	0.0055535748	0.0099675525	0.010318143	0.008432501	0.008986021	0.10503975	0.07357684	0.09875203	0.00973892	0.007364334	0.037152234	0.010132787	0.04273678	0.007724456	0.0045213886	0.02075317	0.016086852	0.011584632	0.0070220465	0.011159622	0.008727319	0.021265857	0.0058517284	0.010733201	0.04257922	0.035565495	0.023595063	0.012606489	0.04583729	0.016547091	0.009279736	0.0057498002	0.004950876	0.029851917	0.02525873	0.021538857	0.10177358	0.034569193	0.02619274	0.010922245
17x83	0.0051192003	0.007785076	0.028665386	0.0020155108	0.033822294	0.019344836	0.06783631	0.026847417	0.009384812	0.006914781	0.007182675	0.010363085	0.007026551	0.019110065	0.008670622	0.008720802	0.045868006	0.0117244525	0.014097734	0.022978496	0.009936152	0.01776027	0.0050439364	0.015217943	0.040299065	0.0072245724	0.0008048304	0.010430178	0.009294207	0.0030763617	0.0639548	0.34577996	0.0079903435	0.010132494	0.048700344	0.011677349	0.003144475	0.008177109	0.004599036	0.013278506
5x51	0.005598492	0.0044628237	0.0074071176	0.0034201	0.016978756	0.024686892	0.020772548	0.0036099814	0.13519266	0.1485869	0.008846307	0.0068320315	0.0067083645	0.02592355	0.008235374	0.037775915	0.011565534	0.010979312	0.026162611	0.059126474	0.033326298	0.015006593	0.0054534515	0.027896022	0.051781844	0.0090422	0.0029768392	0.008043234	0.0041007595	0.004082292	0.113604	0.010147724	0.006411418	0.012087502	0.032218862	0.0062047318	0.034259714	0.027795222	0.015891438	0.0067981696
