cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type II spiral ganglion neuron,Acadl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Acp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Acsl3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Acsl6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Acta2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Acta2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Actn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Actn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Early neuroblast,Acvr2a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Acvr2a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Acvrl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Adam11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Adam12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Adam12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adam17,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adam19,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Adamts16,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Adamts20,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adamts3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adamts5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Adamts5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Adamtsl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adamtsl5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adap1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Adap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Adap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adarb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adcy2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory sensory neuron,Adcy3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Add2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Add3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Adgra1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adgrb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Adgrb3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Adm,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adprh,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Adprhl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adra1d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Adssl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Afap1l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Afap1l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Afap1l2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Aff3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Agap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Agl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Agpat3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Agpat4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Agt,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Agtpbp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Agtrap,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ahcyl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Ahi1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,AI413582,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,AI593442,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,AI854703,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,AI987944,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Aif1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Aifm3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Airn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ak1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ak7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ak9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Akap13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Alcam,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Aldh1a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Aldh1l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Aldh5a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Aldoart2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
