cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type I spiral ganglion neuron,Dusp28,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Dusp6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Dync1i1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Dync2h1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Dynll2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Dzip1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,E130309D02Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,E230016M11Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,E2f6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ebag9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Ebf3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ebf4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Ecm2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Edaradd,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Edil3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Ednra,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Ednrb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Ednrb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Eef2kmt,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Efemp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Efemp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Efhb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Efna5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Efnb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Efnb3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Efr3b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Efs,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Egfl7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Egfl7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Egfl7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Egflam,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Egflam,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Egfr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Egln2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Egln3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Ehbp1l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Ehd4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eif1ad,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eif2ak4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eif2b4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Eif5a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eif5a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Elfn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Elmo1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Elmod1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Elovl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Elovl4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Elovl5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Elp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Emb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Emcn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Emid1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Emid1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Eml1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Eml6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Dorsal otocyst,Emx2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Emx2os,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Enah,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Endod1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Eng,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Enkur,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Eno1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eno4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Enpp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Enpp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Enpp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Entpd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Entpd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Entpd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Entpd6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Epas1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Epas1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Epb41,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Epb41l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Epb41l3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Epb41l4a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Epb41l4a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Epdr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Epha3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Epha4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Epha8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ephb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Ephx4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Epn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Epn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Epn3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Eps15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Eps15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Eps8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Eral1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Erc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Erg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Erich1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Erich3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Erlin2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Ermn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ern1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Chandelier cell,Errfi1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Esam,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Espn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Esr2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Esrrg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Esrrg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Esyt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Etf1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ethe1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Ets1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Ets1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Etv6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Eva1a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Eva1c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Evi2a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Exoc5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ext2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Extl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Late neuroblast,Eya2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Ezr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ezr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,F11r,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,F11r,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,F13a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,F2r,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,F2r,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,F730043M19Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,F8a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Fa2h,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fa2h,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Faah,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Fabp7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Faim2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Faim2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fam117a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam126b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam13b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam155a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Fam163a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Chandelier cell,Fam163b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fam178b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam184b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam189a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fam20a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam20c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Fam219aos,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fam219b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fam227a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam234b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fam3c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Fam43a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fam43b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam53b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam57b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam78a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Fam78b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fam98c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fanca,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Farp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Fat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Fat3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fat3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fbln5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fbln7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fbn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Fbxl16,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Fbxl7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Activated neural stem cell,Fbxo2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ventral otocyst,Fbxo2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Fbxo27,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo31,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo32,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo33,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo34,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo40,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Fbxo40,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxo41,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fbxw17,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fbxw7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Fcer1g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Fcgr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Fchsd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Fcrls,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fdft1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fdxr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fes,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fez2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fgd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Early neuroblast,Fgf10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Chandelier cell,Fgf13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fgf18,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Early neuroblast,Fgf3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fgf5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Early neuroblast,Fgf8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fgf9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Fgfr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fgfr1op,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Fgfr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Dorsal otocyst,Fgfr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fgfr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fh1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Fhad1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fhdc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fhod3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fign,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Filip1l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Firre,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Fjx1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fkbp11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fkbp1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Fkbp5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fkbp9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Fli1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Fli1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Fli1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Flnb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Flot2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Flrt3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Flt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Flt3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Flywch1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Flywch2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Fmn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fmn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Fmnl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fmod,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Fn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fn3k,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fnbp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fnbp1l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Fndc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Fndc3b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fndc4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuroblast,Foxc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Foxj1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Foxj2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Foxo1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Foxq1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Foxred2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fpgt,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Frat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Frat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Frat2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Frmd4b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Frmd4b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Frmd5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Frmd8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Frmpd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Frzb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fscn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Dorsal otocyst,Fst,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fstl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fstl4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fstl5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fubp3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fuca2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fundc2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fuom,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Furin,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Fut8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Fut8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Fut9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fut9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Activated neural stem cell,Fxyd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fxyd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuroblast,Fxyd6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Fxyd6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Fyb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Fyb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Late neuroblast,Fzd10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Fzd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Fzd6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ventral otocyst,Fzd8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,G0s2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,G0s2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Gab1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Gabpa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Gabra2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Gabrb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Gabrg1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Gabrg2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Gadd45b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Gadd45g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
O cell,Gal3st1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Galk2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Galnt13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Galnt14,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Galnt5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Galnt6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Galnt9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Galntl6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Immature olfactory sensory neuron,Gap43,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Gap43,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Gap43,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Gart,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Gas6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Dorsal otocyst,Gata2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
