"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Lymphoid progenitor cell","DNTT","Experiment","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Lymphoid progenitor cell","FLT3","Experiment","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Lymphoid progenitor cell","RAG2","Experiment","1","DETAIL"
