"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Basophil","CPA3","Experiment","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basophil","MS4A2","Experiment","1","DETAIL"
